Concept,Description,"Reteach Message (should be formatted as if handing it to Python print(), 80 characters wide)",Author (responsible person),Msg Status,Lab first appear,Count in Tag to Concept Master,Tags,
And,"Understands how the ""and"" operator works in Python","""|and| either returns the first false value evaluated in an expression or the\nlast value of that expression if all the operands are true.""",,Finalized,1,4,"AndDsntShrtCir, AndShrtCirTruthy, BoolExprRtnBool, SwapAndOr, ",
Assignment,Understands how the = is used to assign a value on the right to the name on the left and what the Python interpreter displays when this is done,"""An assignment statement first evaluates the expression on the right side of the\n|=| operator to get a value. This value is then bound to the name on the left\nside of the |=| in the first frame in the current environment. For example,\nwhile |a = 0| displays nothing, |a == 0| displays |True|. Notice that Python\ndistinguishes assignment |=| from equality comparison |==|.""",Krishna,Finalized,1,4,"AssignNameOfFnToVarWhenCallExpr, AssignStmtIsEquals, AssignStmtRtnVal, BindVarToVarName, ",
BooleanFalseyValues,Understands what values in Python are falsey.,"""In Python, there are several values that are considered false-y such that in\ntheir interactions with other values in a boolean expression, they functionally\nevaluate as False. These values are: |False|, |None|, |0| (all other integers\nare True), |\'\'|, |()|, |[]|, and |{}| (or any other empty Data Structure).""",Krishna,Finalized,1,2,"FalseyIsTruthy, NonZeroIsFalsey, ",
BooleanRepresentation,"Understands that there are true booleans in Python as opposed to the ""hack"" of binary 0 and 1.","""In Python there are boolean primitives |True| and |False| as opposed to prior\nlanguages that use |1| and |0|.""",Krishna,Finalized,1,1,"BoolIsBinary, ",
BoolOrderOfOperations,Order of operations for booleans,"""In Python, just like with arithmetic operators, there is a specific order of\noperations for boolean operators. Evaluating from left to right, expressions\nwithin parentheses have the highest priority, followed by |not|, then |and|,\nand False or finally by |or|. For example, |True and False or not False| is \nevaluated as |(True and False) or (not False))| which is |True|.""",Krishna,Finalized,1,1,"WrnBoolOpPrecedence, ",
DivisionType,Understands the difference between floating point division and floor (integer) division,"""Python has two division operators: |/| and |//|. |/| is traditional division, it\nresults in a decimal value. For example, |8 / 4| evaluates to |2.0|. |//| floors\nthe result down to an integer. Also, if one of the operands is negative, the\nresult is rounded *towards* negative infinity. For example, |5 // 4| evaluates\nto |1| and |-5 // 4| evaluates to |-2|.""",Kelly,Finalized,1,3,"FloorDivIsDivTwice, NFloorDivNIsWeird, SwapFloorDivTrueDiv, ",
EvalBool,"Understands that when evaluating a boolean expression it results in a particular value and does not include portions of the boolean logic like not, and, and or.","""When evaluating a boolean expression, it is completely evaluated such that there\nare no boolean operators left. For example, |False and not True or 3| becomes\n|False and False or 3| then |False or 3| and finally |3|.""",Krishna,Finalized,1,1,"NoEvalBool, ",
EvalExpr,Understands when to evaluate an expression,"""An expression is a combination of values, variables, operators, and functions\nthat a programming language interprets and evaluates to the simplest value.\nExpression are evaluated upon hitting \""Enter\"" or \""Return\"". Primitive values\n(e.g. |1| or |\""hello\""|) evaluate to themselves, while expressions are evaluated\nbased on the values, variables, operators, and functions it is made up of.""",Kelly,Finalized,1,1,"NoEvalExpr, ",
EvalVar,Understands how to evaluate variables when they are used,"""A variable is evaluated to the value it was assigned. If it was not assigned\nprior to being evaluated a NameError is raised.""",Kelly,Finalized,1,2,"BindVarToVarName, VarEvalIsEmptyVal, ",
IfClause,The three parts to an if clause (if...elif...else). Maybe including how two ifs near each other do not affect each other's behavior,"""A conditional statement consists of a series of headers and suites: a required\n|if| clause, an optional sequence of |elif| clauses, and finally an optional\n|else| clause. To execute a conditional clause, each clause is considered in\norder: (1) Evaluate the header's expression. (2) If it is a true value, execute\nthe suite. Then, skip over all subsequent clauses in the conditional statement.\n(3) If the |else| clause is reached, only its suite is executed.""",Krishna,Finalized,1,2,"IfElseIsIfIf, IfIfIsIfElse, ",
ListIndexing,List indexing starts at 0 and what is returned from indexing into a list.,"""When indexing into a list, we start counting at 0. This means to get the first\nelement we must use the index zero. For example, in this list |x = [1, 2, 3]| to\nget |1| use |x[0]|. Notice that the value returned is only the element at that\nindex.""",,Finalized,1,5,"LstIndxingRtnLst, LstIndxStartAtOne, LstIndxUseCommas, LstIndxUseNestBrackets, NestedLstIsFlat, ",
NegativeNumbers,Understands that Python can represent negative numbers and how they are represented,"""In Python negative numbers are represented with a negative sign in front of the\nnumber. Therefore the negative value of |10| is represented as |-10|.""",Krishna,Finalized,1,1,"NegNumNotValid, ",
